,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Death of X,2016,1,Issue,2016-12-31,Comicvine,94620,552158,Death of X,2016, ,https://comicvine.gamespot.com/death-of-x-1/4000-552158/,0 days 00:00:00
2,Death of X,2016,2,Issue,2016-12-31,Comicvine,94620,553955,Death of X,2016, ,https://comicvine.gamespot.com/death-of-x-2/4000-553955/,31 days 00:00:00
3,Death of X,2016,3,Issue,2017-01-31,Comicvine,94620,556471,Death of X,2016, ,https://comicvine.gamespot.com/death-of-x-3/4000-556471/,0 days 00:00:00
4,Death of X,2016,4,Issue,2017-01-31,Comicvine,94620,558962,Death of X,2016, ,https://comicvine.gamespot.com/death-of-x-4/4000-558962/,0 days 00:00:00
5,Inhumans Vs X-Men,2017,0,Issue,2017-01-31,Comicvine,96144,562597,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-562597/,28 days 00:00:00
6,Inhumans Vs X-Men,2017,1,Issue,2017-02-28,Comicvine,96144,566713,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-566713/,0 days 00:00:00
7,Uncanny X-Men,2016,16,Issue,2017-02-28,Comicvine,87190,569354,Uncanny X-Men,2016, ,https://comicvine.gamespot.com/uncanny-x-men-16/4000-569354/,0 days 00:00:00
8,Extraordinary X-Men,2016,17,Issue,2017-02-28,Comicvine,85756,571665,Extraordinary X-Men,2015, ,https://comicvine.gamespot.com/issue/4000-571665/,31 days 00:00:00
9,Inhumans Vs X-Men,2017,2,Issue,2017-03-31,Comicvine,96144,575870,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-575870/,0 days 00:00:00
10,Uncanny X-Men,2016,17,Issue,2017-03-31,Comicvine,87190,575887,Uncanny X-Men,2016, ,https://comicvine.gamespot.com/uncanny-x-men-17/4000-575887/,0 days 00:00:00
11,Uncanny Inhumans,2015,18,Issue,2017-03-31,Comicvine,81092,576641,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-18/4000-576641/,0 days 00:00:00
12,Deadpool & the Mercs for Money,2016,7,Issue,2017-03-31,Comicvine,92360,576620,Deadpool & The Mercs For Money,2016, ,https://comicvine.gamespot.com/deadpool-and-the-mercs-for-money-7/4000-576620/,0 days 00:00:00
13,All-New X-Men,2016,17,Issue,2017-03-31,Comicvine,86334,576612,All-New X-Men,2015, ,https://comicvine.gamespot.com/issue/4000-576612/,0 days 00:00:00
14,Extraordinary X-Men,2016,18,Issue,2017-03-31,Comicvine,85756,578459,Extraordinary X-Men,2015, ,https://comicvine.gamespot.com/issue/4000-578459/,0 days 00:00:00
15,Inhumans Vs X-Men,2017,3,Issue,2017-03-31,Comicvine,96144,578465,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-578465/,30 days 00:00:00
16,Deadpool & the Mercs for Money,2016,8,Issue,2017-04-30,Comicvine,92360,579313,Deadpool & The Mercs For Money,2016, ,https://comicvine.gamespot.com/deadpool-and-the-mercs-for-money-8/4000-579313/,0 days 00:00:00
17,All-New X-Men,2016,18,Issue,2017-04-30,Comicvine,86334,579303,All-New X-Men,2015, ,https://comicvine.gamespot.com/issue/4000-579303/,0 days 00:00:00
18,Inhumans Vs X-Men,2017,4,Issue,2017-04-30,Comicvine,96144,580755,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-580755/,0 days 00:00:00
19,Uncanny Inhumans,2015,19,Issue,2017-04-30,Comicvine,81092,581573,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-19/4000-581573/,0 days 00:00:00
20,Uncanny X-Men,2016,18,Issue,2017-04-30,Comicvine,87190,581574,Uncanny X-Men,2016, ,https://comicvine.gamespot.com/uncanny-x-men-18/4000-581574/,0 days 00:00:00
21,Inhumans Vs X-Men,2017,5,Issue,2017-04-30,Comicvine,96144,582534,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-582534/,0 days 00:00:00
22,Extraordinary X-Men,2016,19,Issue,2017-04-30,Comicvine,85756,582529,Extraordinary X-Men,2015, ,https://comicvine.gamespot.com/issue/4000-582529/,31 days 00:00:00
23,Inhumans Vs X-Men,2017,6,Issue,2017-05-31,Comicvine,96144,585080,IvX,2016, ,https://comicvine.gamespot.com/issue/4000-585080/,0 days 00:00:00
24,Uncanny Inhumans,2015,20,Issue,2017-05-31,Comicvine,81092,588578,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-20/4000-588578/,0 days 00:00:00
