,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Age of X: Alpha,2011,1,Issue,2011-03-01,Comicvine,38611,259113,Age of X: Alpha,2011, ,https://comicvine.gamespot.com/age-of-x-alpha-1/4000-259113/,31 days 00:00:00
2,X-Men: Legacy,2008,245,Issue,2011-04-01,Comicvine,20691,263714,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-245-age-of-x-chapter-one/4000-263714/,0 days 00:00:00
3,New Mutants,2009,22,Issue,2011-04-01,Comicvine,26327,263713,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-22-age-of-x-chapter-two/4000-263713/,30 days 00:00:00
4,X-Men: Legacy,2008,246,Issue,2011-05-01,Comicvine,20691,265506,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-246-age-of-x-chapter-three/4000-265506/,0 days 00:00:00
5,New Mutants,2009,23,Issue,2011-05-01,Comicvine,26327,266508,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-23-age-of-x-chapter-4/4000-266508/,31 days 00:00:00
6,X-Men: Legacy,2008,247,Issue,2011-06-01,Comicvine,20691,268218,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-247-age-of-x-chapter-five/4000-268218/,26 days 00:00:00
7,New Mutants,2009,24,Issue,2011-06-27,Comicvine,26327,268985,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-24-age-of-x-chapter-6/4000-268985/,57 days 00:00:00
8,Age of X: Universe,2011,1,Issue,2011-05-01,Comicvine,39513,267087,Age of X: Universe,2011, ,https://comicvine.gamespot.com/age-of-x-universe-1-chapter-1/4000-267087/,31 days 00:00:00
9,Age of X: Universe,2011,2,Issue,2011-06-01,Comicvine,39513,268981,Age of X: Universe,2011, ,https://comicvine.gamespot.com/age-of-x-universe-2-chapter-2/4000-268981/,40 days 00:00:00
10,X-Men: Legacy,2008,248,Issue,2011-07-11,Comicvine,20691,269781,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-248-age-of-x-aftermath-part-one/4000-269781/,10 days 00:00:00
11,X-Men: Legacy,2008,249,Issue,2011-07-01,Comicvine,20691,271298,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-249-age-of-x-aftermath-part-two/4000-271298/,0 days 00:00:00
