,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Avengers Assemble,2012,14AU,Issue,2013-06-30,Comicvine,46569,396424,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-14au-age-of-ultron/4000-396424/,8 days 00:00:00
2,Avengers Assemble,2012,15AU,Issue,2013-07-08,Comicvine,46569,401203,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-15au-age-of-ultron-submit-britan/4000-401203/,38 days 00:00:00
3,Fantastic Four,2013,5AU,Issue,2013-05-31,Comicvine,53921,395247,Fantastic Four,2013, ,https://comicvine.gamespot.com/fantastic-four-5au-the-death-of-the-family-richard/4000-395247/,0 days 00:00:00
4,Age of Ultron,2013,1,Issue,2013-05-31,Comicvine,58436,390442,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-1-book-one/4000-390442/,30 days 00:00:00
5,Age of Ultron,2013,2,Issue,2013-05-01,Comicvine,58436,392349,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-2-book-two/4000-392349/,0 days 00:00:00
6,Superior Spider-Man,2013,6AU,Issue,2013-05-01,Comicvine,55552,395256,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-6au-doomsday-scenario/4000-395256/,0 days 00:00:00
7,Age of Ultron,2013,3,Issue,2013-05-01,Comicvine,58436,395244,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-3-book-three/4000-395244/,36 days 00:00:00
8,Age of Ultron,2013,4,Issue,2013-06-06,Comicvine,58436,395699,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-4-book-four/4000-395699/,14 days 00:00:00
9,Ultron,2013,1AU,Issue,2013-06-20,Comicvine,49505,396434,Ultron,2013, ,https://comicvine.gamespot.com/ultron-1au/4000-396434/,19 days 00:00:00
10,Age of Ultron,2013,5,Issue,2013-06-01,Comicvine,58436,396420,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-5-book-five/4000-396420/,22 days 00:00:00
11,Wolverine and The X-Men,2011,27AU,Issue,2013-06-23,Comicvine,43539,397554,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-27au-age-of-ultron-road-tr/4000-397554/,3 days 00:00:00
12,Age of Ultron,2013,6,Issue,2013-06-26,Comicvine,58436,397539,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-6-book-six/4000-397539/,5 days 00:00:00
13,Fearless Defenders,2013,4AU,Issue,2013-07-01,Comicvine,56878,404697,Fearless Defenders,2013, ,https://comicvine.gamespot.com/fearless-defenders-4au/4000-404697/,30 days 00:00:00
14,Uncanny Avengers,2012,8AU,Issue,2013-07-31,Comicvine,52880,404704,Uncanny Avengers,2012, ,https://comicvine.gamespot.com/uncanny-avengers-8au/4000-404704/,30 days 00:00:00
15,Age of Ultron,2013,7,Issue,2013-07-01,Comicvine,58436,400144,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-7-book-seven/4000-400144/,22 days 00:00:00
16,Age of Ultron,2013,8,Issue,2013-07-23,Comicvine,58436,402283,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-8-book-eight/4000-402283/,20 days 00:00:00
17,Age of Ultron,2013,9,Issue,2013-08-12,Comicvine,58436,408988,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-9-book-nine/4000-408988/,11 days 00:00:00
18,Age of Ultron,2013,10,Issue,2013-08-01,Comicvine,58436,411824,Age of Ultron,2013, ,https://comicvine.gamespot.com/age-of-ultron-10-book-ten/4000-411824/,0 days 00:00:00
